Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1744897;1.06278;49.45583;"01° 03' 46.00'' Est, 49° 27' 21.00'' Nord";"76451";;"CITÉ DU PANORAMA, PARC DE L'EAULNE";"76130";"MONT-SAINT-AIGNAN";"Immeuble"; 25.0;"Particulier"
1746587;0.80167;49.83583;"00° 48' 06.00'' Est, 49° 50' 09.00'' Nord";"76015";"LE CHEM PERDU";"RD 75";"76740";"ANGIENS";"Silo"; 30.0;"Coopérative Agricole, Vinicole"
1746591;0.84222;49.82667;"00° 50' 32.00'' Est, 49° 49' 36.00'' Nord";"76642";;"RTE DE VEULES";"76740";"SAINT-PIERRE-LE-VIGER";"Pylône tubulaire"; 26.6;"FPS TOWERS"
1746609;0.50722;49.78583;"00° 30' 26.00'' Est, 49° 47' 09.00'' Nord";"76011";"PLAINE D'ANCRETTEVILLE";"ROUTE DE ST PIERRE";"76540";"ANCRETTEVILLE-SUR-MER";"Pylône autostable"; 42.0;"FPS TOWERS"
1747568;1.07361;49.82722;"01° 04' 25.00'' Est, 49° 49' 38.00'' Nord";"76405";"HAMEAU DE CATTEVILLE";"DÉPARTEMENTALE 23";"76590";"MANEHOUVILLE";"Château d'eau - réservoir"; 31.0;"Syndicat des eaux, Adduction"
1747600;0.74806;49.52194;"00° 44' 53.00'' Est, 49° 31' 19.00'' Nord";"76164";"PONT DE BROTONNE";"D 490";"76490";"CAUDEBEC-EN-CAUX";"Ouvrage d'art (pont, viaduc)"; 127.0;"Conseil Départemental"
1748872;0.57389;49.48972;"00° 34' 26.00'' Est, 49° 29' 23.00'' Nord";"76476";;"R PRESIDENT COTY IMMEUBLE ANNAPURNA";"76330";"NOTRE-DAME-DE-GRAVENCHON";"Bâtiment"; 26.0;"Société HLM"
1750296;0.18833;49.50000;"00° 11' 18.00'' Est, 49° 30' 00.00'' Nord";"76351";;"561 BD JULES DURAND BAT COOP";"76600";"LE HAVRE";"Pylône autostable"; 32.0;"ORANGE"
1751667;1.10056;49.43972;"01° 06' 02.00'' Est, 49° 26' 23.00'' Nord";"76540";;"41 RUE VICTOR HUGO";"76000";"ROUEN";"Bâtiment"; 21.2;"Copropriété, Syndic, SCI"
1752749;1.64361;49.75306;"01° 38' 37.00'' Est, 49° 45' 11.00'' Nord";"76372";"FOND DORÉ";"CH. DÉPART. N° 82 (SITE PROCHE DU CARR. AVEC LA RN";"76390";"ILLOIS";"Château d'eau - réservoir"; 50.9;"Syndicat des eaux, Adduction"
1752753;1.64222;49.88861;"01° 38' 32.00'' Est, 49° 53' 19.00'' Nord";"76500";"LA HAYE MUETTE";"R  DE NESLE NORMANDEUSE";"76340";"PIERRECOURT";"Pylône autostable"; 32.0;"SFR"
1752807;1.44361;49.78389;"01° 26' 37.00'' Est, 49° 47' 02.00'' Nord";"76053";"LA QUEUE DU MONT";"CHEM  RURAL N°15";"76660";"BAILLOLET";"Pylône autostable"; 40.0;"SFR"
